,make_model,price,km,Gears,age,hp_kW
0,Audi A1,15770,56013.0,7.0,3.0,66.0
1,Audi A1,14500,80000.0,7.0,2.0,141.0
2,Audi A1,14640,83450.0,7.0,3.0,85.0
3,Audi A1,14500,73000.0,6.0,3.0,66.0
4,Audi A1,16790,16200.0,7.0,3.0,66.0
5,Audi A1,15090,63668.0,7.0,3.0,85.0
6,Audi A1,16422,62111.0,7.0,3.0,85.0
7,Audi A1,14480,14986.0,7.0,3.0,66.0
8,Audi A1,16700,57000.0,7.0,3.0,85.0
9,Audi A1,17990,16103.0,7.0,2.0,70.0
10,Audi A1,18500,11300.0,7.0,1.0,85.0
11,Audi A1,17990,26415.0,7.0,3.0,92.0
12,Audi A1,18380,31600.0,7.0,3.0,92.0
13,Audi A1,18399,45764.0,7.0,3.0,112.0
14,Audi A1,17990,34914.0,7.0,3.0,70.0
15,Audi A1,18700,27000.0,7.0,3.0,85.0
16,Audi A1,18900,9752.0,5.0,1.0,85.0
17,Audi A1,18500,28408.0,7.0,2.0,66.0
18,Audi A1,18400,50280.0,7.0,3.0,70.0
19,Audi A1,18500,13406.0,7.0,1.0,85.0
20,Audi A1,18500,51160.0,7.0,2.0,85.0
21,Audi A1,18500,15850.0,7.0,3.0,92.0
22,Audi A1,18900,17000.0,7.0,3.0,92.0
23,Audi A1,18850,9077.0,7.0,1.0,85.0
24,Audi A1,18500,3000.0,7.0,1.0,70.0
25,Audi A1,8999,115000.0,5.0,3.0,70.0
26,Audi A1,11444,84029.0,5.0,3.0,70.0
27,Audi A1,11300,67800.0,5.0,3.0,70.0
28,Audi A1,18900,14556.0,7.0,1.0,66.0
29,Audi A1,11290,22000.0,5.0,3.0,70.0
30,Audi A1,11290,38400.0,5.0,3.0,66.0
31,Audi A1,11440,83307.0,5.0,3.0,66.0
32,Audi A1,11445,39668.0,5.0,3.0,70.0
33,Audi A1,11700,30353.0,5.0,3.0,66.0
34,Audi A1,11900,126000.0,5.0,3.0,66.0
35,Audi A1,11949,57500.0,5.0,3.0,70.0
36,Audi A1,11890,73945.0,5.0,3.0,70.0
37,Audi A1,11600,96000.0,5.0,2.0,66.0
38,Audi A1,11900,43120.0,5.0,3.0,60.0
39,Audi A1,11630,110715.0,5.0,3.0,66.0
40,Audi A1,11880,31971.0,5.0,3.0,60.0
41,Audi A1,11800,94800.0,5.0,3.0,66.0
42,Audi A1,11850,85000.0,5.0,3.0,66.0
43,Audi A1,11569,111265.0,5.0,3.0,66.0
44,Audi A1,11490,44120.0,5.0,3.0,66.0
45,Audi A1,11490,97976.0,5.0,3.0,70.0
46,Audi A1,11500,106000.0,5.0,3.0,66.0
47,Audi A1,11790,60000.0,5.0,3.0,85.0
48,Audi A1,11490,58000.0,5.0,3.0,60.0
49,Audi A1,11470,57454.0,5.0,3.0,60.0
50,Audi A1,11480,94055.0,5.0,3.0,66.0
51,Audi A1,11180,56000.0,5.0,3.0,70.0
52,Audi A1,11450,27600.0,5.0,3.0,70.0
53,Audi A1,11100,111670.0,5.0,3.0,85.0
54,Audi A1,10900,30500.0,5.0,3.0,66.0
55,Audi A1,10999,69500.0,5.0,2.0,70.0
56,Audi A1,10900,43500.0,5.0,3.0,60.0
57,Audi A1,10950,45696.0,5.0,3.0,70.0
58,Audi A1,10800,34000.0,5.0,3.0,66.0
59,Audi A1,10600,55000.0,5.0,3.0,70.0
60,Audi A1,10800,99000.0,5.0,3.0,66.0
61,Audi A1,9950,118500.0,5.0,3.0,70.0
62,Audi A1,10300,85000.0,5.0,3.0,70.0
63,Audi A1,10000,192000.0,5.0,3.0,85.0
64,Audi A1,10490,130000.0,5.0,3.0,66.0
65,Audi A1,18900,41294.0,7.0,3.0,71.0
66,Audi A1,18900,64000.0,7.0,2.0,85.0
67,Audi A1,18900,13135.0,7.0,1.0,70.0
68,Audi A1,18900,4250.0,7.0,2.0,70.0
69,Audi A1,18890,2949.0,7.0,1.0,70.0
70,Audi A1,18890,17861.0,7.0,2.0,71.0
71,Audi A1,18890,22800.0,7.0,2.0,92.0
72,Audi A1,18880,5108.0,7.0,2.0,70.0
73,Audi A1,18880,11335.0,7.0,1.0,70.0
74,Audi A1,18880,6396.0,7.0,1.0,70.0
75,Audi A1,18880,47800.0,7.0,3.0,85.0
76,Audi A1,18880,7021.0,7.0,1.0,70.0
77,Audi A1,18880,30952.0,7.0,3.0,92.0
78,Audi A1,18880,33991.0,7.0,3.0,92.0
79,Audi A1,18870,35800.0,7.0,2.0,66.0
80,Audi A1,18850,7672.0,7.0,1.0,85.0
81,Audi A1,18870,8430.0,7.0,1.0,70.0
82,Audi A1,18497,40488.0,5.0,3.0,85.0
83,Audi A1,18490,24200.0,7.0,2.0,66.0
84,Audi A1,18490,26500.0,7.0,2.0,66.0
85,Audi A1,18490,58806.0,7.0,3.0,71.0
86,Audi A1,18500,39000.0,7.0,3.0,85.0
87,Audi A1,18490,16700.0,7.0,2.0,92.0
88,Audi A1,18490,41900.0,7.0,3.0,92.0
89,Audi A1,18480,15093.0,7.0,3.0,92.0
90,Audi A1,18480,5211.0,7.0,1.0,66.0
91,Audi A1,18470,12000.0,7.0,1.0,70.0
92,Audi A1,18444,50066.0,7.0,3.0,92.0
93,Audi A1,18400,51484.0,7.0,2.0,71.0
94,Audi A1,18400,14770.0,7.0,1.0,85.0
95,Audi A1,18900,12415.0,7.0,1.0,85.0
96,Audi A1,18900,26064.0,7.0,1.0,85.0
97,Audi A1,18900,16500.0,7.0,1.0,85.0
98,Audi A1,18900,9000.0,7.0,3.0,92.0
99,Audi A1,18900,12402.0,7.0,1.0,85.0
100,Audi A1,18900,14702.0,7.0,1.0,85.0
101,Audi A1,18900,14523.0,7.0,1.0,85.0
102,Audi A1,18900,9082.0,7.0,1.0,85.0
103,Audi A1,18900,9580.0,5.0,1.0,85.0
104,Audi A1,18900,10013.0,5.0,1.0,85.0
105,Audi A1,18900,10450.0,5.0,1.0,85.0
106,Audi A1,18900,14878.0,7.0,1.0,85.0
107,Audi A1,18900,10273.0,5.0,1.0,85.0
108,Audi A1,18900,47500.0,7.0,3.0,71.0
109,Audi A1,18900,9466.0,5.0,1.0,85.0
110,Audi A1,18900,18971.0,7.0,1.0,85.0
111,Audi A1,18900,31877.0,7.0,1.0,70.0
112,Audi A1,18900,9878.0,5.0,1.0,85.0
113,Audi A1,18900,17535.0,7.0,1.0,70.0
114,Audi A1,18850,76264.0,7.0,3.0,92.0
115,Audi A1,18850,6695.0,7.0,1.0,70.0
116,Audi A1,18850,21275.0,7.0,3.0,92.0
117,Audi A1,18850,12261.0,7.0,1.0,66.0
118,Audi A1,18840,3620.0,7.0,1.0,70.0
